発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,ハード・メモリ,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1989-12-15,テクノソフト,ヘルツォーク・ツヴァイ,-,3,SLG,"￥6,800","￥7,000代",0,MD,,,岩永孝,福田泉|マーク・ウィリアム・エリクセン,新井直介|大谷智巳,,,
1989-12-16,セガ,ヴァーミリオン,-,4,RPG,"￥8,500","￥8,500代",0,MD,,,,,,,,
1989-12-23,マイクロネット,カース,-,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1989-12-23,セガ,ゴールデンアックス,31,3,ACT,"￥6,000","￥6,000代",8,MD,,,,内田誠,中林亨|高田陽,,,
1990-01-01,セガ,メガアンサー,-,3,ETC,"￥34,000","￥34,000代",0,MD,,,,,,,,
1990-01-13,セガ,ズーム,-,2,PZL,"￥5,500","￥5,500代",0,MD,,,,,,,,
1990-01-30,メサイヤ,史上最大の倉庫番,-,2,PZL,"￥5,200","￥5,000代",0,MD,,,,,,,,
1990-02-24,セガ,ソーサリアン,-,3,RPG,"￥7,000","￥7,000代",0,MD,,,木屋善夫,木屋善夫|山根ともお|都築和彦|大浦孝浩|佐藤善美|古代彩乃|小林誠(マニュアルイラスト),古代祐三|石川三恵子|竹林令子|永田英哉,五十嵐哲也|富一成|山根ともお|都築和彦,加藤正幸,
1990-03-02,セガ,スーパーリアルバスケットボール,-,3,SPT,"￥6,000","￥6,000代",0,MD,,,,,,,,
1990-03-03,タイトー,ザ・ニュージーランドストーリー,-,3,ACT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-03-09,アスミック,エアダイバー,-,3,SHT,"￥6,800","￥7,000代",0,MD,,,,,,,,
1990-03-16,メサイヤ,重装機兵レイノス,-,3,SHT,"￥6,200","￥6,000代",0,MD,,,,,,,,
1990-03-23,電波新聞社,アフターバーナーII,-,3,SHT,"￥6,900","￥7,000代",0,MD,,鈴木裕|浜垣博志,三船敏,鈴木裕,川口博史,,中山隼雄,
1990-03-23,タイトー,ファイナルブロー,-,3,SPT,"￥6,800","￥7,000代",0,MD,,,藤末一郎|木下昌也|大野木雄一|いしわたたかゆき,石川幸生|沼田和博|野村明生,ZUNTATA SOUND TEAM,,,
1990-04-07,セガ,ダーウィン4081,-,3,SHT,"￥6,000","￥6,000代",0,MD,,,,,,,,
