発売日,メーカー,タイトル,バックアップメモリ,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
2005-12-22,ハドソン,ハドソンベストコレクションVol.4謎解きコレクション,0,0,ACT,"￥2,940","￥3,000代",0,,,,,,,,
2006-01-19,ハドソン,ハドソンベストコレクションVol.5シューティングコレクション,0,0,SHT,"￥2,940","￥3,000代",0,,,,,,,,
2006-01-19,ハドソン,ハドソンベストコレクションVol.6冒険島コレクション,0,0,ACT,"￥2,940","￥3,000代",0,,,,,,,,
2006-01-26,セガ,ダブルパックソニックアドバンス＆チューチューロケット,0,0,PZL,?,?,0,,,,,,,,
2006-01-26,セガ,ダブルパックソニックバトル＆ソニックアドバンス,0,0,PZL,?,?,0,,,,,,,,
2006-01-26,セガ,ダブルパックソニックピンボールパーティ＆ソニックバトル,0,0,PZL,?,?,0,,,,,,,,
2006-02-09,セガ,Mr.インクレディブル～強敵アンダーマイナー登場～,0,0,ACT,"￥5,040","￥5,000代",0,,,,,,,,
2006-02-09,マーベラスインタラクティブ,川のぬしづり3＆4,0,0,RPG,?,?,0,,,,,,,,
2006-02-16,アトラス,くにおくん熱血コレクション3,0,0,ACT,?,?,0,,,,,,,,
2006-02-23,コナミ,遊戯王デュエルモンスターズエキスパート2006,0,0,CARD,"￥5,229","￥5,000代",0,,,,,,,,
2006-03-02,バンプレスト,うえきの法則神器炸裂！能力者バトル,0,0,ACT,"￥5,040","￥5,000代",0,,,,,,,,
