年,未使用1,税区分,未使用2,都道府県,市区町村,業種(サンプル),未使用,カウント
2008-01-01,0,1,不明,北海道,佐呂間町,業種F,0,5
2008-01-01,0,2,不明,北海道,佐呂間町,業種B,0,50
2008-01-01,0,0,不明,北海道,遠軽町,業種B,0,97
2008-01-01,0,1,不明,北海道,遠軽町,業種H,0,6
2008-01-01,0,2,不明,北海道,遠軽町,業種H,0,38
2008-01-01,0,0,不明,北海道,湧別町,業種H,0,87
2008-01-01,0,1,不明,北海道,湧別町,業種B,0,6
2008-01-01,0,2,不明,北海道,湧別町,業種B,0,36
2008-01-01,0,0,不明,北海道,滝上町,業種B,0,73
2008-01-01,0,1,不明,北海道,滝上町,業種C,0,3
2008-01-01,0,2,不明,北海道,滝上町,業種I,0,30
2008-01-01,0,0,不明,北海道,興部町,業種J,0,103
2008-01-01,0,1,不明,北海道,興部町,業種J,0,7
2008-01-01,0,2,不明,北海道,興部町,業種H,0,43
2008-01-01,0,0,不明,北海道,西興部村,業種D,0,79
2008-01-01,0,1,不明,北海道,西興部村,業種J,0,8
2008-01-01,0,2,不明,北海道,西興部村,業種I,0,28
2008-01-01,0,0,不明,北海道,雄武町,業種H,0,113
2008-01-01,0,1,不明,北海道,雄武町,業種D,0,7
2008-01-01,0,2,不明,北海道,雄武町,業種J,0,45
2008-01-01,0,0,不明,北海道,大空町,業種G,0,112
2008-01-01,0,1,不明,北海道,大空町,業種G,0,7
2008-01-01,0,2,不明,北海道,大空町,業種D,0,56
2008-01-01,0,0,不明,北海道,豊浦町,業種I,0,80
2008-01-01,0,1,不明,北海道,豊浦町,業種F,0,4
2008-01-01,0,2,不明,北海道,豊浦町,業種I,0,38
2008-01-01,0,0,不明,北海道,壮瞥町,業種G,0,145
2008-01-01,0,1,不明,北海道,壮瞥町,業種F,0,13
2008-01-01,0,2,不明,北海道,壮瞥町,業種F,0,77
2008-01-01,0,0,不明,北海道,白老町,業種E,0,120
2008-01-01,0,1,不明,北海道,白老町,業種G,0,7
2008-01-01,0,2,不明,北海道,白老町,業種G,0,66
2008-01-01,0,0,不明,北海道,厚真町,業種H,0,399
2008-01-01,0,1,不明,北海道,厚真町,業種A,0,23
2008-01-01,0,2,不明,北海道,厚真町,業種E,0,331
2008-01-01,0,0,不明,北海道,洞爺湖町,業種A,0,117
2008-01-01,0,1,不明,北海道,洞爺湖町,業種G,0,5
2008-01-01,0,2,不明,北海道,洞爺湖町,業種H,0,60
2008-01-01,0,0,不明,北海道,安平町,業種C,0,175
2008-01-01,0,1,不明,北海道,安平町,業種H,0,9
2008-01-01,0,2,不明,北海道,安平町,業種A,0,74
2008-01-01,0,0,不明,北海道,むかわ町,業種D,0,95
2008-01-01,0,1,不明,北海道,むかわ町,業種D,0,6
2008-01-01,0,2,不明,北海道,むかわ町,業種G,0,45
2008-01-01,0,0,不明,北海道,日高町,業種H,0,114
2008-01-01,0,1,不明,北海道,日高町,業種B,0,8
2008-01-01,0,2,不明,北海道,日高町,業種H,0,54
2008-01-01,0,0,不明,北海道,平取町,業種D,0,88
2008-01-01,0,1,不明,北海道,平取町,業種H,0,4
2008-01-01,0,2,不明,北海道,平取町,業種I,0,36
2008-01-01,0,0,不明,北海道,新冠町,業種D,0,113
2008-01-01,0,1,不明,北海道,新冠町,業種B,0,11
2008-01-01,0,2,不明,北海道,新冠町,業種C,0,53
2008-01-01,0,0,不明,北海道,浦河町,業種D,0,107
2008-01-01,0,1,不明,北海道,浦河町,業種A,0,7
2008-01-01,0,2,不明,北海道,浦河町,業種I,0,45
2008-01-01,0,0,不明,北海道,様似町,業種C,0,91
