発売日,メーカー,タイトル,⭐クロスレビュー(評価),容量(bit),ジャンル,価格,価格帯,カウント,メモリ(S-RAM)(Kbit),👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1993-07-16,キャラクターソフト,サンリオワールドスマッシュボール!,-,1,ACT,"￥6,980","￥7,000代",0,0,,,,,,,,
1993-07-16,コナミ,摩陀羅2,-,6,RPG,"￥9,800","￥10,000代",0,64,,,,,,,,
1993-07-16,アスミック,スーパーエアダイバー,-,2,SLG,"￥8,900","￥9,000代",0,0,,,,,,,,
1993-07-16,ヴァージンゲーム,マジックジョンソンのスーパースラムダンク,-,4,SPT,"￥8,900","￥9,000代",0,0,,,,,,,,
1993-07-16,ココナッツジャパンエンターテイメント,ワールド・サッカー,-,2,SPT,"￥9,500","￥9,500代",0,64,,,,,,,,
1993-07-16,日本コンピュータシステム,全日本プロレス,-,7,SPT,"￥9,900","￥10,000代",0,0,,,,,,,,
1993-07-23,東芝EMI,スーパーバック・トゥ・ザ・フューチャー2,-,4,ACT,"￥9,000","￥9,000代",0,0,,,,,,,,
1993-07-23,ビクターエンタテインメント,スーパー・ジェームスポンドⅡ,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,,,,,
1993-07-23,ホット・ビィ,バズー!魔法世界,-,6,RPG,"￥9,800","￥10,000代",0,64,,,,山田章博,,瑞澄計都,,
1993-07-23,アスキー,ウイングコマンダー,-,4,SHT,"￥9,800","￥10,000代",0,0,,,,,,,,
1993-07-23,イマジニア,メガロマニア時空大戦略,-,4,SLG,"￥12,800","￥13,000代",0,0,,,,,,,,
1993-07-23,バンプレスト,第3次スーパーロボット大戦,31,6,SLG,"￥9,800","￥10,000代",0,64,,阪田雅彦,庄真宏|渡邊猛,戸田篤樹|山岸望|坂木和史|知見浩之|谷博之|糸洲文恵|本田透|西村英樹|宮下加代子,田中伸一,阪田雅彦,じっぱひとからげ,
1993-07-23,アクレイムジャパン,WWFロイヤルランブル,-,7,SPT,"￥9,800","￥10,000代",0,0,,,,,,,,
1993-07-23,バンプレスト,バトルドッジボールⅡ,-,6,SPT,"￥9,600","￥9,500代",0,0,,田中憲一|下道隆,,,末村謙之輔,,,
1993-07-29,日本物産,スーパーF1サーカス2,-,6,RCG,"￥9,500","￥9,500代",0,64,,,,,,,,
1993-07-30,アイレム,ニトロパンクスマイトヘッズ,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,,,,,
1993-07-30,バリエ,パティームーン,-,4,ACT,"￥8,900","￥9,000代",0,0,,,,,,,,
1993-07-30,バンダイ,クレヨンしんちゃん嵐を呼ぶ園児,-,6,ACT,"￥9,500","￥9,500代",0,0,,,,尾形和正|田中康介|牛村憲彦,富樫則彦,,,
1993-07-30,ベック,宇宙の騎士テッカマンブレード,-,4,ACT,"￥8,800","￥9,000代",0,0,,,,TOlllO(設定)|佐野浩敏(原案協力)|佐山善則|中原れい,和田薫,,,
1993-07-30,ビデオシステム,ソニックウイングス,-,5,SHT,"￥8,900","￥9,000代",0,0,,,,"中村晋介|.mw-parser-output ruby.large{font-size:250%}.mw-parser-output ruby.large>rt|.mw-parser-output ruby.large>rtc{font-size:.3em}.mw-parser-output ruby>rt|.mw-parser-output ruby>rtc{font-feature-settings:""ruby""1}.mw-parser-output ruby.yomigana>rt{font-feature-settings:""ruby""0}六鹿(ナントカ)文彦|横山浩子",耕三寺巡(AC)|板村直樹(SFC),,,
1993-07-30,ジャレコ,美少女雀士スーチーパイ,-,7,TBL,"￥9,700","￥9,500代",0,0,,,,,,,,
1993-07-30,タイトー,大爆笑人生劇場ドキドキ青春編,-,5,TBL,"￥8,800","￥9,000代",0,0,,高橋章二,さとうふじひこ|はながたたかし|イトウわりゅー|カタナまさる,なかだしんじ|くろさわきょうこ|タイガーかとう|長尾隆史|加藤誠|伊藤啓司|もぎきよこ|川石徹|明石佳久|大原和浩|園田誠|金子陽子|斎藤慎,わたなべよしお,,,
1993-08-05,光栄,スーパー信長の野望・全国版,-,2,SLG,"￥8,800","￥9,000代",0,64,,,,,菅野よう子,,シブサワ・コウ,
1993-08-06,スクウェア,聖剣伝説2,33,7,RPG,"￥9,800","￥10,000代",150,64,,石井浩一,ナーシャ・ジベリ,田中弘道|石井浩一|石井浩一|磯野宏夫,菊田裕樹,田中弘道,田中弘道,
1993-08-06,T＆Eソフト,ソード・ワールドSFC,-,6,RPG,"￥9,800","￥10,000代",0,64,,,,,,,,
1993-08-06,テクノスジャパン,くにおくんのドッジボールだよ全員集合!,-,6,SPT,"￥9,600","￥9,500代",0,64,,吉田晄浩,佐藤博|金久保勇|N.UEDA|森真一,並木毅|中津英一朗,澤和雄|飯塚千晶|上原麗子|片岡清美,,,
1993-08-06,ナムコ,Jリーグサッカープライムゴール,-,4,SPT,"￥8,500","￥8,500代",0,0,,,,,,,,
1993-08-06,ハドソン,スーパーパワーリーグ,-,6,SPT,"￥9,500","￥9,500代",0,64,,,,,,,,
1993-08-06,ヒューマン,ヒューマンベースボール,-,4,SPT,"￥8,600","￥8,500代",0,0,,,,,,,,
1993-08-06,ポニーキャニオン,大仁田厚「FMW」キミは時代よる熱くなれるか,-,6,SPT,"￥9,800","￥10,000代",0,0,,,,,,,,
1993-08-10,アイマックス,スーパー競馬,-,4,ETC,"￥9,700","￥9,500代",0,64,,,,,,,,
1993-08-12,サンソフト,ワールドヒーローズ,-,7,ACT,"￥9,800","￥10,000代",0,0,,,,,,,,
1993-08-20,アルトロン,スーパースラップショット,-,2,SPT,"￥8,500","￥8,500代",0,0,,,,,,,,
1993-08-27,エンジェル,美少女戦士セーラームーン,-,6,ACT,"￥9,800","￥10,000代",0,0,,,,,,,,
1993-08-27,任天堂,マリオとワリオ,-,4,ACT,"￥6,800","￥7,000代",0,0,,田尻智,西橋倫治|増田順一,田尻智|杉森建|藤原基史,増田順一,,加納誠|石原恒和|横井軍平(ゼネラルマネージャー),
1993-08-27,ヘクト,サラブレッドブリーダー,-,4,ETC,"￥9,700","￥9,500代",0,64,,,,,,,,
1993-08-27,エニックス,樹帝戦紀,32,6,SLG,"￥9,600","￥9,500代",0,64,,,,,,,,
1993-08-27,アクレイムジャパン,MVPベースボール,-,4,SPT,"￥8,800","￥9,000代",0,0,,,,,,,,
