発売日,メーカー,タイトル,ハード,容量(bit),ジャンル,価格,ジョブカテゴリ,カウント,👥クリエイターズ👨‍💼👨‍💻🎨,👨‍💼ディレクター,👨‍💻プログラマー,🎨デザイナー/美術,🎵音楽,📝シナリオ,💼プロデューサー,
1998-10-21,任天堂,ワリオランド2盗まれた財宝,2,7,ACT,"￥3,500","￥3,500代",0,,細川豪彦,山中勝,清武博二,石川こずえ,,出石武宏,
1998-10-23,アテナ,ポケットボウリングGB,2,5,SPT,"￥3,800","￥4,000代",0,,,,,,,,
1998-10-30,ココナッツジャパンエンターテイメント,ポケット電車,1,5,SLG,"￥3,980","￥4,000代",0,,,,,,,,
1998-11-06,アイマックス,詰め将棋廉価版,1,2,TBL,"￥4,200","￥4,000代",0,,,,,,,,
1998-11-13,童,本格将棋将棋王,2,6,TBL,"￥3,980","￥4,000代",0,,,,,,,,
1998-11-20,ハドソン,ゲームボーイウォーズ2,2,6,SLG,"￥4,200","￥4,000代",0,,,,,,,,
1998-11-27,イマジニア,サンリオタイムネット過去編,2,6,RPG,"￥3,500","￥3,500代",0,,,,,,,,
1998-11-27,イマジニア,サンリオタイムネット未来編,2,6,RPG,"￥3,500","￥3,500代",0,,,,,,,,
1998-11-27,スターフィッシュ,スーパーブラックバスポケット3スターフィッシュ釣り,2,6,SPT,"￥3,980","￥4,000代",0,,,,,,,,
1998-11-27,エポック社,ドラえもんのGAMEBOYであそぼうよデラックス10,1,4,ETC,"￥3,800","￥4,000代",0,,,,,,,,
1998-11-27,コンパイル,ぽけっとぷよぷよSUN,2,6,PZL,"￥3,980","￥4,000代",0,,,,,,,,
1998-11-27,カプコン,激闘パワーモデラー,1,5,FTG,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-04,ハドソン,ロボットポンコッツ(星バージョン),2,6,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-04,ハドソン,ロボットポンコッツ(太陽バージョン),2,6,RPG,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-11,スターフィッシュ,カラムー町は大さわぎ！～ポリンキーズとおかしな仲間たち～,2,6,ACT,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-11,ハズブロージャパン,ゲームボーイモノポリー,2,6,TBL,"￥3,980","￥4,000代",0,,,,,,,,
1998-12-11,タム,バーコード対戦バーディガン,2,6,RPG,"￥5,500","￥5,500代",0,,,,,,,,
1998-12-11,トミー,ロードス島戦記-英雄騎士伝-,2,6,TBL,"￥3,980","￥4,000代",0,,,,,,安田均(テーブルトークRPG),,
1998-12-12,任天堂,ゼルダの伝説夢をみる島DX,2,6,RPG,"￥3,500","￥3,500代",0,,手塚卓志,森田和明|葛原貴光,山村康久|有本正直|日野重文|小田部羊一,濱野美奈子|石川こずえ|戸高一生,田邊賢輔|小泉歓晃,宮本茂,
1998-12-12,イマジニア,フェアリーキティの開運辞典～妖精の国の占い修行～,2,6,ETC,"￥3,980","￥4,000代",0,,,,,,,,
